From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
6;12;sea;1258;-1;-1;-1;-1;Skåne-Sjaelland
12;14;sea;1258;-1;-1;-1;-1;Sjaelland-Fyn
14;4142;sea;1258;-1;-1;-1;-1;Fyn-Aarhus
14;4149;sea;1258;-1;-1;-1;-1;Fyn-Kolding
3134;14;sea;1258;-1;-1;-1;-1;Aabenraa-Fyn
14;1983;sea;1258;-1;-1;-1;-1;Fyn-Lolland
12;1983;sea;1258;-1;-1;-1;-1;Sjaelland-Lolland
123;124;sea;1307;-1;-1;-1;-1;Calabria-Messina
151;316;sea;1320;-1;-1;-1;-1;Thrace-Bithynia
911;945;sea;1662;-1;-1;-1;-1;Menominee-Michigan
1;1930;sea;1928;-1;-1;-1;-1;Stockholm-Åland
1930;27;sea;1253;-1;-1;-1;-1;Åland-Finland
142;144;sea;1311;-1;-1;-1;-1;Janina-Corfu
3175;3178;sea;1312;-1;-1;-1;-1;Aetolia-Achaea
146;164;sea;1319;-1;-1;-1;-1;Athens-Naxos
149;2296;sea;1320;-1;-1;-1;-1;Edine-Biga
4110;369;sea;1299;-1;-1;-1;-1;Sutherland-Orkney
97;100;sea;1269;-1;-1;-1;-1;Holland-Friesland
96;3062;sea;1269;-1;-1;-1;-1;Zeeland-Gravenhage
96;95;sea;1269;-1;-1;-1;-1;Zeeland-Breda
96;1744;sea;1269;-1;-1;-1;-1;Zeeland-Antwerp
96;1865;sea;1269;-1;-1;-1;-1;Zeeland-Ghent
96;90;sea;1269;-1;-1;-1;-1;Zeeland-Brugge
1017;1818;sea;1390;-1;-1;-1;-1;Suo-Chikuzen
1014;4186;sea;1390;-1;-1;-1;-1;Bungo-Iyo
4186;1825;sea;1390;-1;-1;-1;-1;Aki-Iyo
2159;666;sea;1370;-1;-1;-1;-1;Jiangmen-Hainan
3230;3231;sea;1926;-1;-1;-1;-1;Haapsalu-Hiiumaa
35;3227;sea;1256;-1;-1;-1;-1;Ösel-Piltene
597;620;sea;1361;-1;-1;-1;-1;Johor-Siak
659;2677;sea;1361;-1;-1;-1;-1;Riau-Palembang
972;2610;sea;1558;-1;-1;-1;-1;Nootka-Heiltsuk
972;974;sea;1558;-1;-1;-1;-1;Nootka-Kwakiutl
2484;874;sea;1558;-1;-1;-1;-1;Quileute-Salish
5048;982;sea;1491;-1;-1;-1;-1;Esgigeoag-Unamakik
5047;983;sea;1491;-1;-1;-1;-1;Segepenegatig-Epekwitk
1050;1033;sea;1379;-1;-1;-1;-1;Deren-Sakhalin
1215;387;sea;1330;-1;-1;-1;-1;Tajura-Mocha
54;3136;sea;1268;-1;-1;-1;-1;Stade-Dithmarschen
1820;1021;sea;1391;-1;-1;-1;-1;1223;Awa-Settsu
4131;4193;sea;1387;-1;-1;-1;-1;Oshima-Mutsu
1032;1852;sea;4225;-1;-1;-1;-1;Kurils-Tokachi
1199;1201;sea;1448;-1;-1;-1;-1;Bagamoyo-Zanzibar
1247;127;sea;1298;-1;-1;-1;-1;Corsica-Sardinia
394;396;sea;1335;-1;-1;-1;-1;Al Hasa-Bahrain
395;396;sea;1335;-1;-1;-1;-1;Qatar-Bahrain
627;631;sea;1354;-1;-1;-1;-1;Blambangan-Bali
4354;4351;sea;4357;-1;-1;-1;-1;Zamboanga-Buglas
654;2699;sea;1397;-1;-1;-1;-1;Samar-Bikol
654;4353;sea;1397;-1;-1;-1;-1;Samar-Leyte
648;649;sea;1400;-1;-1;-1;-1;Halmahera-Ternate
648;650;sea;1400;-1;-1;-1;-1;Halmahera-Tidore
1107;2738;sea;1423;-1;-1;-1;-1;Taranaki-Waitaha
1268;1258;canal;1775;-1;-1;-1;-1;kiel_canal
1548;1515;canal;835;-1;-1;-1;-1;panama_canal
1328;1316;canal;363;-1;-1;-1;-1;suez_canal
2348;318;sea;1319;-1;-1;-1;-1;Chios-Sugla
3173;2296;sea;1319;-1;-1;-1;-1;Lesbos-Biga
3245;2447;sea;1323;-1;-1;-1;-1;Kerch-Mapa
536;2100;sea;1340;-1;-1;-1;-1;Madurai-Vanni
2803;502;sea;1522;-1;-1;-1;-1;Orinoco Delta-Trinidad
628;2692;sea;1355;-1;-1;-1;-1;Surabaya-Madura
631;2693;sea;1355;-1;-1;-1;-1;Bali-Lombok
2693;632;sea;1355;-1;-1;-1;-1;Lombok-Sumbawa
632;633;sea;1356;-1;-1;-1;-1;Sumbawa-Flores
633;2695;sea;1401;-1;-1;-1;-1;Flores-East Timor
2716;642;sea;1357;-1;-1;-1;-1;Buton-Kendari
2700;4351;sea;1397;-1;-1;-1;-1;Cebu-Panay
4353;4355;sea;1402;-1;-1;-1;-1;Leyte-Caraga
2700;4350;sea;1397;-1;-1;-1;-1;Panay-Mindoro
646;647;sea;1401;-1;-1;-1;-1;Ambom-Ceram
2678;622;sea;1361;-1;-1;-1;-1;Banka-Palembang
2686;597;sea;1361;-1;-1;-1;-1;Bintan-Johor
748;2890;sea;1529;-1;-1;-1;-1;Belem-Marajo
2954;353;sea;1305;-1;-1;-1;-1;Djerba-Tataouine
624;623;sea;1352;-1;-1;-1;-1;Banten-Tulungbewang
431;2999;sea;1334;-1;-1;-1;-1;Mogostan-Hormuz
2999;5249;sea;1334;-1;-1;-1;-1;Hormuz-Khasab
3177;3003;sea;1319;-1;-1;-1;-1;Thebes - Euboea
3003;164;sea;1319;-1;-1;-1;-1;Euboea - Cyclades
4353;4352;sea;1397;-1;-1;-1;-1;Leyte-Cebu
4351;4352;sea;1397;-1;-1;-1;-1;Buglas-Cebu
142;3181;sea;1311;-1;-1;-1;-1;Delvina-Corfu
656;4350;sea;1395;-1;-1;-1;-1;Manilla-Mindoro
651;4354;sea;1395;-1;-1;-1;-1;Sulu-Zamboanga
3175;3176;sea;1312;-1;-1;-1;-1;Aetolia-Cephalonia
3177;3178;sea;1312;-1;-1;-1;-1;Thebes-Achaea
149;3195;sea;1319;-1;-1;-1;-1;Edirne-Lemnos
1974;3244;sea;1323;-1;-1;-1;-1;Yedishkul-Qirim
3230;35;sea;1926;-1;-1;-1;-1;Hiiumaa-Ösel
3231;35;sea;1256;-1;-1;-1;-1;Haapsalu-Ösel
112;108;sea;1308;-1;-1;-1;-1;Venice-Verona
3018;5099;sea;1283;-1;-1;-1;-1;Argyll-Inner Hebrides
252;5099;sea;1283;-1;-1;-1;-1;Inverness-Inner Hebrides
3137;5099;sea;1283;-1;-1;-1;-1;Ross-Inner Hebrides
747;2890;sea;1529;-1;-1;-1;-1;Amapa-Marajo
782;2869;sea;1538;-1;-1;-1;-1;Tierra Del Fuego-Florida Blanca
782;783;sea;1539;-1;-1;-1;-1;Tierra Del Fuego-Kawesqar
778;2851;sea;1536;-1;-1;-1;-1;Rio de la Plata-Colonia
4993;4995;sea;1489;-1;-1;-1;-1;Naujaat-Shugliaq
2610;4940;sea;1558;-1;-1;-1;-1;Heiltsuk-Snuneymuxw
4974;5019;sea;1494;-1;-1;-1;-1;Grand Bank-Saint Pierre
1240;5029;sea;1697;-1;-1;-1;-1;Hawaii-Oahu
1001;5039;sea;1661;-1;-1;-1;-1;Soto-Manidoowaaling
911;1001;sea;1663;-1;-1;-1;-1;Menominee-Sault
911;5039;sea;1661;-1;-1;-1;-1;Belem-Manidoowaaling
4973;5039;sea;1661;-1;-1;-1;-1;Waanabidebiing-Manidoowaaling
2576;2578;sea;1490;-1;-1;-1;-1;Mingan-Anticosti
985;983;sea;1491;-1;-1;-1;-1;Mikmaq-Epekwitk
2559;5060;sea;1903;-1;-1;-1;-1;Adirondack-Mamhlawbagak
366;5096;sea;1471;-1;-1;-1;-1;The Canarias-Tenerife
1775;1983;sea;1258;-1;-1;-1;-1;Holstein-Lolland
3;3121;sea;1255;-1;-1;-1;-1;Smaland-Kalmar
227;3108;sea;1292;-1;-1;-1;-1;Lisboa-Setubal
282;1974;sea;1322;-1;-1;-1;-1;Yedisan-Yedishkul
112;1774;sea;1308;-1;-1;-1;-1;Venice-Treviso
111;112;sea;1308;-1;-1;-1;-1;Friuli-Venice
3173;5131;sea;1319;-1;-1;-1;-1;Lesbos-Ayvalik
741;502;sea;1522;-1;-1;-1;-1;Cumana-Trinidad
741;5579;sea;1520;-1;-1;-1;-1;Cumana-Waikeri
